libraryId,anatId,anatName,stageId,stage,sex,strain,platform
SRX5543863,UBERON:0004703,dorsal thalamus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543864,UBERON:0001898,hypothalamus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543867,UBERON:0002661,superior frontal gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543868,UBERON:0002686,angular gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543869,UBERON:0026137,annectant gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543870,UBERON:0006092,cuneus cortex,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543871,UBERON:0002948,superior occipital gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543872,UBERON:0002948,superior occipital gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543873,UBERON:0014608,inferior occipital gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543874,UBERON:0002021,occipital lobe,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543875,UBERON:0002264,olfactory bulb,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543876,UBERON:0002702,middle frontal gyrus,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543877,UBERON:0002998,inferior frontal gyrus,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543878,UBERON:0002661,superior frontal gyrus,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543879,UBERON:0002661,superior frontal gyrus,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543880,UBERON:0034671,arcuate sulcus,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543881,UBERON:0000451,prefrontal cortex,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543882,UBERON:0002570,medial orbital gyrus,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543883,UBERON:0002581,postcentral gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543884,UBERON:0006094,superior parietal cortex,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543885,UBERON:0006094,superior parietal cortex,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543886,UBERON:0002913,intraparietal sulcus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543887,UBERON:0002661,superior frontal gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543888,UBERON:0002686,angular gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543889,UBERON:0026137,annectant gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543890,UBERON:0006092,cuneus cortex,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543891,UBERON:0001873,caudate nucleus,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543892,UBERON:0001874,putamen,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543893,UBERON:0001875,globus pallidus,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543894,UBERON:0000007,pituitary gland,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543895,UBERON:0002264,olfactory bulb,MmulDv:0000029,9-year-old stage (macaque),female,NA,paired
SRX5543896,UBERON:0002702,middle frontal gyrus,MmulDv:0000029,9-year-old stage (macaque),female,NA,paired
SRX5543897,UBERON:0002998,inferior frontal gyrus,MmulDv:0000029,9-year-old stage (macaque),female,NA,paired
SRX5543898,UBERON:0002661,superior frontal gyrus,MmulDv:0000029,9-year-old stage (macaque),female,NA,paired
SRX5543899,UBERON:0002022,insula,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543900,UBERON:0002703,precentral gyrus,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543901,UBERON:0002703,precentral gyrus,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543902,UBERON:0002581,postcentral gyrus,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543903,UBERON:0002581,postcentral gyrus,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543904,UBERON:0006094,superior parietal cortex,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543905,UBERON:0006094,superior parietal cortex,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543906,UBERON:0002913,intraparietal sulcus,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543907,UBERON:0001896,medulla oblongata,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543908,UBERON:0000988,pons,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543909,UBERON:0002129,cerebellar cortex,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543910,UBERON:0004720,cerebellar vermis,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543911,UBERON:0002691,ventral tegmental area,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543912,UBERON:0002038,substantia nigra,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543913,UBERON:0001891,midbrain,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543914,UBERON:0001876,amygdala,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543915,UBERON:0002751,inferior temporal gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543916,UBERON:0002769,superior temporal gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543917,UBERON:0016538,temporal cortex,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543918,UBERON:0002421,hippocampal formation,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543919,UBERON:0002766,fusiform gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543920,UBERON:0002973,parahippocampal gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543921,UBERON:0002943,lingual gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543922,UBERON:0002740,posterior cingulate gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543923,UBERON:0001885,dentate gyrus of hippocampal formation,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543924,UBERON:0003881,CA1 field of hippocampus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543925,UBERON:0003883,CA3 field of hippocampus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543926,UBERON:0001882,nucleus accumbens,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543927,UBERON:0001873,caudate nucleus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543928,UBERON:0001874,putamen,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543929,UBERON:0001875,globus pallidus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543930,UBERON:0000007,pituitary gland,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543931,UBERON:0002948,superior occipital gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543932,UBERON:0002948,superior occipital gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543933,UBERON:0014608,inferior occipital gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543934,UBERON:0002021,occipital lobe,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543935,UBERON:0002751,inferior temporal gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543936,UBERON:0002769,superior temporal gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543937,UBERON:0016538,temporal cortex,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543938,UBERON:0002421,hippocampal formation,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543939,UBERON:0002661,superior frontal gyrus,MmulDv:0000029,9-year-old stage (macaque),female,NA,paired
