libraryId,anatId,anatName,stageId,stage,sex,strain,platform
SRX10176226,UBERON:0001134,skeletal muscle tissue,MmusDv:0000133,29-month-old stage (mouse),male,C57BL/6J,paired
SRX10176227,UBERON:0001134,skeletal muscle tissue,MmusDv:0000133,29-month-old stage (mouse),male,C57BL/6J,paired
SRX1038153,UBERON:0000965,lens of camera-type eye,MmusDv:0000032,Theiler stage 23 (mouse),NA,C57BL/6J,paired
SRX1038154,UBERON:0000965,lens of camera-type eye,MmusDv:0000032,Theiler stage 23 (mouse),NA,C57BL/6J,paired
SRX1038155,UBERON:0000965,lens of camera-type eye,MmusDv:0000035,Theiler stage 26 (mouse),NA,C57BL/6J,paired
SRX1038156,UBERON:0000965,lens of camera-type eye,MmusDv:0000035,Theiler stage 26 (mouse),NA,C57BL/6J,paired
SRX1038157,UBERON:0000965,lens of camera-type eye,UBERON:0007221,neonate stage,NA,C57BL/6J,paired
SRX1038158,UBERON:0000965,lens of camera-type eye,UBERON:0007221,neonate stage,NA,C57BL/6J,paired
SRX1038159,UBERON:0000965,lens of camera-type eye,UBERON:0007221,neonate stage,NA,C57BL/6J,paired
SRX1038160,UBERON:0000965,lens of camera-type eye,UBERON:0007221,neonate stage,NA,C57BL/6J,paired
SRX1038161,UBERON:0000965,lens of camera-type eye,MmusDv:0000116,6-day-old stage (mouse),NA,C57BL/6J,paired
SRX1038162,UBERON:0000965,lens of camera-type eye,MmusDv:0000116,6-day-old stage (mouse),NA,C57BL/6J,paired
SRX1038163,UBERON:0000965,lens of camera-type eye,MmusDv:0000119,9-day-old stage (mouse),NA,C57BL/6J,paired
SRX1038164,UBERON:0000965,lens of camera-type eye,MmusDv:0000119,9-day-old stage (mouse),NA,C57BL/6J,paired
SRX1038926,UBERON:0001870,frontal cortex,UBERON:0018241,prime adult stage,mixed,BALB/c,paired
SRX1038927,UBERON:0001870,frontal cortex,UBERON:0018241,prime adult stage,mixed,BALB/c,paired
SRX1038928,UBERON:0001870,frontal cortex,UBERON:0018241,prime adult stage,mixed,BALB/c,paired
SRX1038929,UBERON:0000948,heart,UBERON:0018241,prime adult stage,mixed,BALB/c,paired
SRX1038930,UBERON:0002107,liver,UBERON:0018241,prime adult stage,mixed,BALB/c,paired
SRX1038931,UBERON:0000473,testis,UBERON:0018241,prime adult stage,mixed,BALB/c,paired
SRX104350,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,paired
SRX104354,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,paired
SRX104356,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,paired
SRX104785,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,paired
SRX1121052,UBERON:0005417,forelimb bud,MmusDv:0000024,Theiler stage 17 (mouse),NA,ICR,single
SRX1121053,UBERON:0005417,forelimb bud,MmusDv:0000024,Theiler stage 17 (mouse),NA,ICR,single
SRX1121054,UBERON:0005417,forelimb bud,MmusDv:0000026,Theiler stage 19 (mouse),NA,ICR,single
SRX1121055,UBERON:0005417,forelimb bud,MmusDv:0000026,Theiler stage 19 (mouse),NA,ICR,single
SRX1121056,UBERON:0005417,forelimb bud,MmusDv:0000026,Theiler stage 19 (mouse),NA,ICR,single
SRX120197,CL:2000089,dentate gyrus of hippocampal formation granule cell,UBERON:0018241,prime adult stage,female,Swiss Webster,single
SRX120198,CL:2000089,dentate gyrus of hippocampal formation granule cell,UBERON:0018241,prime adult stage,female,Swiss Webster,single
SRX155071,UBERON:0005343,cortical plate,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6J,single
SRX155072,UBERON:0005343,cortical plate,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6J,single
SRX155073,UBERON:0005343,cortical plate,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6J,single
SRX155074,UBERON:0005343,cortical plate,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6J,single
SRX155075,UBERON:0005343,cortical plate,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6J,single
SRX155076,UBERON:0004023,ganglionic eminence,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6J,single
SRX155077,UBERON:0004023,ganglionic eminence,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6J,single
SRX155078,UBERON:0004023,ganglionic eminence,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6J,single
